DB00601,DB01413,D000084462
DB08910,DB16399,D007160
DB00741,DB00541,D008232
DB00762,DB00112,D020141
DB00530,DB08828,D010335
DB06186,DB08875,D008113
DB00958,DB01042,D009371
DB00958,DB06772,D011471
DB09035,DB00650,D005770
DB09035,DB11595,D009371
DB00091,DB06273,D008206
DB00531,DB00019,D009369
DB00526,DB09078,D009370
DB11581,DB04865,D011230
DB00073,DB00531,D016400
DB00997,DB00480,D009370
DB01590,DB09078,D013959
DB00531,DB14865,D007951
DB00099,DB04572,D009369
DB01072,DB14126,D014777
DB00503,DB09183,D006525
DB01073,DB01042,D009217
DB00642,DB09037,D002277
DB01073,DB00563,D007945
DB12674,DB06186,D055752
DB01041,DB01042,D014652
DB00515,DB00441,D005185
DB08910,DB00541,D008206
DB00615,DB01060,D001423
DB00633,DB01236,D009461
DB09499,DB01206,D009370
DB01073,DB00188,D001796
DB00997,DB01202,D017599
DB01591,DB08893,D053201
DB00471,DB00602,D003333
DB00758,DB09030,D006331
DB00441,DB00361,D018365
DB09037,DB11596,D009375
DB00650,DB15118,D009369
DB01229,DB14922,D018307
DB09074,DB11714,D016543
DB00531,DB00688,D000080984
DB08896,DB00526,D003108
DB00112,DB01248,D001660
DB00020,DB15965,D009375
DB00635,DB00993,D056647
DB00099,DB01075,D002318
DB09037,DB00531,D006402
DB08912,DB14892,D000230
DB01042,DB06273,D006402
DB12047,DB08885,D009375
DB07232,DB00853,D001254
DB01175,DB00476,D001526
DB09331,DB08910,D008659
DB09331,DB00563,D007160
DB11942,DB00073,D016393
DB00537,DB09287,D005759
DB12159,DB14947,D017443
DB06228,DB00213,D016491
DB11730,DB01217,D001943
DB00958,DB00515,D007960
DB16222,DB12240,D007160
DB09035,DB14851,D005134
DB16371,DB08935,D009369
DB00531,DB00544,D013899
DB01236,DB00296,D003327
DB00007,DB06186,D011471
DB15286,DB00526,D014591
DB00441,DB06813,D007160
DB00441,DB15442,D007960
DB01229,DB00445,D009369
DB00073,DB00099,D020274
DB00987,DB01033,D007154
DB00073,DB00860,D008223
DB00899,DB00728,D002318
DB00531,DB00688,D007952
DB00002,DB15140,D015179
DB00834,DB00929,D000022
DB06186,DB09035,D018193
DB01075,DB00098,D004066
DB09110,DB00531,D011832
DB04572,DB09052,D009196
DB00773,DB00441,D008206
DB00959,DB01075,D002318
DB14892,DB06168,D009375
DB07232,DB00853,D009422
DB00291,DB09053,D008206
DB00904,DB01236,D010335
DB00531,DB01073,D010335
DB01248,DB09035,D006258
DB01042,DB00433,D014652
DB00207,DB01611,D012327
DB08889,DB00531,D002318
DB00099,DB00635,D009369
DB09035,DB00072,D009369
DB01229,DB00361,D009385
DB01181,DB01229,D004701
DB00531,DB00970,D002493
DB11595,DB01248,D008175
DB00316,DB01050,D011183
DB09074,DB11714,D009362
DB00073,DB15151,D008232
DB15471,DB00526,D007410
DB09054,DB00073,D008206
DB09033,DB00959,D005767
DB15393,DB00526,D013274
DB00959,DB11988,D009422
DB01042,DB00091,D014652
DB01042,DB00959,D054219
DB09539,DB00526,D015179
DB00694,DB11581,D009190
DB00541,DB01030,D009447
DB14892,DB08912,D009371
DB00515,DB14917,D001984
DB01075,DB00471,D009101
DB00188,DB00635,D054219
DB12380,DB00201,D009422
DB00853,DB01101,D018278
DB01611,DB00811,D014777
DB00499,DB00014,D009371
DB00947,DB09539,D018307
DB14781,DB01248,D001745
DB00087,DB00099,D004066
DB01229,DB06186,D008171
DB01073,DB00098,D009369
DB00635,DB00997,D016399
DB00362,DB00196,D016469
DB00741,DB00059,D007945
DB00650,DB00531,D016545
DB00531,DB00515,D009370
DB00262,DB06769,D009370
DB00601,DB14879,D011014
DB00541,DB16186,D018302
DB00007,DB00499,D009375
DB09331,DB00997,D006402
DB06273,DB00531,D008223
DB12845,DB00515,D009375
DB00531,DB06366,D009371
DB00073,DB00959,D008052
DB00099,DB01073,D054198
DB01229,DB00361,D001941
DB01234,DB00773,D020141
DB00515,DB06287,D009371
DB09035,DB00851,D008232
DB01177,DB00928,D009370
DB00441,DB00958,D008171
DB00390,DB15386,D004066
DB00279,DB01206,D005910
DB01229,DB01248,D009371
DB08889,DB01008,D009101
DB00877,DB01073,D054219
DB05990,DB01393,D002780
DB00531,DB00526,D012002
DB00741,DB01042,D020141
DB00316,DB01050,D004461
DB15442,DB00773,D008175
